rpf,x,y,rot
RPf_00464_intact_mesh.png,454.0,1128.0,-115.55953343533885
RPf_00470_intact_mesh.png,2920.0,602.0,-54.5957784134196
RPf_00467_intact_mesh.png,2084.0,837.0,521.8599478366639
RPf_00471_intact_mesh.png,2523.0,528.0,-103.74208356735537
RPf_00468_intact_mesh.png,2840.0,148.0,-160.9897307373566
RPf_00466_intact_mesh.png,1288.0,614.0,-222.83486703015265
RPf_00465_intact_mesh.png,1444.0,0.0,-203.59296738341945
RPf_00469_intact_mesh.png,2877.0,362.0,-23.130999114854706
RPf_00472_intact_mesh.png,2061.0,1382.0,318.8357439658098
RPf_00463_intact_mesh.png,0.0,73.0,43.23320548378062
