rpf,x,y,rot
RPf_00147_intact_mesh.png,1305.0,1448.0,44.37344409401172
RPf_00135_intact_mesh.png,1626.0,42.0,-102.20755862690693
RPf_00151_intact_mesh.png,2544.0,1213.0,-81.9814287207749
RPf_00133_intact_mesh.png,2453.0,18.0,-79.70399093449336
RPf_00145_intact_mesh.png,1725.0,1522.0,167.69510503047655
RPf_00136_intact_mesh.png,1030.0,0.0,118.26603687509143
RPf_00134_intact_mesh.png,2087.0,169.0,-116.5989516232314
RPf_00139_intact_mesh.png,412.0,582.0,65.97586394809049
RPf_00146_intact_mesh.png,1832.0,1797.0,167.93533644396422
RPf_00144_intact_mesh.png,1770.0,1129.0,-114.83961783644116
RPf_00138_intact_mesh.png,933.0,464.0,-46.94510935426448
RPf_00140_intact_mesh.png,0.0,572.0,79.97430250108577
RPf_00137_intact_mesh.png,386.0,49.0,63.97554059681471
RPf_00150_intact_mesh.png,807.0,2380.0,161.16014395714842
RPf_00142_intact_mesh.png,1081.0,805.0,-13.139292109187828
RPf_00148_intact_mesh.png,893.0,1786.0,-88.85257853524021
RPf_00141_intact_mesh.png,714.0,1073.0,-104.80038722830298
RPf_00149_intact_mesh.png,709.0,2220.0,-19.402275903539685
RPf_00143_intact_mesh.png,2165.0,1150.0,-100.84636339702593
