rpf,x,y,rot
RPf_00390_intact_mesh.png,983.0,213.0,-72.23220111460628
RPf_00381_intact_mesh.png,659.0,2050.0,137.7303821227136
RPf_00388_intact_mesh.png,452.0,536.0,-51.194829150184326
RPf_00383_intact_mesh.png,0.0,1444.0,-156.8446665149943
RPf_00389_intact_mesh.png,1308.0,237.0,-89.52977130087947
RPf_00392_intact_mesh.png,690.0,74.0,-111.80503992028537
RPf_00384_intact_mesh.png,777.0,949.0,-2.860071705503847
RPf_00386_intact_mesh.png,922.0,460.0,-55.35106073183961
RPf_00391_intact_mesh.png,839.0,0.0,53.716340331361685
RPf_00385_intact_mesh.png,1090.0,617.0,-49.26983937035919
RPf_00382_intact_mesh.png,433.0,1433.0,93.84955859239989
RPf_00387_intact_mesh.png,706.0,361.0,-67.70954354435816
