rpf,x,y,rot
RPf_00112_intact_mesh.png,2461.0,779.0,136.25605846960968
RPf_00119_intact_mesh.png,0.0,1707.0,96.65126803899327
RPf_00117_intact_mesh.png,484.0,924.0,153.6809638725794
RPf_00113_intact_mesh.png,1722.0,878.0,-13.187502145670717
RPf_00115_intact_mesh.png,992.0,1209.0,-106.69714442119387
RPf_00114_intact_mesh.png,1032.0,937.0,126.61700864494253
RPf_00111_intact_mesh.png,2346.0,194.0,-39.73382636441629
RPf_00110_intact_mesh.png,2970.0,0.0,-33.21056882023098
RPf_00118_intact_mesh.png,449.0,1497.0,95.64630132527427
RPf_00116_intact_mesh.png,861.0,1201.0,142.21084961445857
