rpf,x,y,rot
RPf_00677_intact_mesh.png,116.0,1756.0,-117.26295529358335
RPf_00671_intact_mesh.png,323.0,526.0,653.7487150490757
RPf_00673_intact_mesh.png,836.0,1949.0,-65.6847954366104
RPf_00668_intact_mesh.png,1226.0,1738.0,112.88075373342737
RPf_00665_intact_mesh.png,1953.0,791.0,-11.049541091109067
RPf_00674_intact_mesh.png,1067.0,2140.0,-112.99102713757722
RPf_00676_intact_mesh.png,227.0,1363.0,-271.2454720180188
RPf_00670_intact_mesh.png,919.0,376.0,-127.36764643472694
RPf_00664_intact_mesh.png,1438.0,850.0,-202.73121607621727
RPf_00667_intact_mesh.png,890.0,919.0,-74.8596382845268
RPf_00669_intact_mesh.png,1408.0,2274.0,6.357154600646586
RPf_00672_intact_mesh.png,788.0,1491.0,-88.24596894448388
RPf_00666_intact_mesh.png,849.0,13.0,126.10559140064866
RPf_00675_intact_mesh.png,0.0,0.0,227.12545526297126
